更新日期,股票代號,股票名稱,最新收盤價,總分,符合條件
2026-09-22,3711,日月光投控      ,663.0,6,1.均線糾結、2.極致量縮、4.外資連買3天、5.法人今日同買、7.站上20周線、8.跳空缺口
2026-09-22,2454,聯發科          ,5010.0,6,2.極致量縮、4.外資連買3天、5.法人今日同買、6.KD黃金交叉、7.站上20周線、8.跳空缺口
2026-09-22,2327,國巨*           ,557.0,5,2.極致量縮、4.外資連買3天、5.法人今日同買、6.KD黃金交叉、8.跳空缺口
2026-09-22,6116,彩晶            ,14.8,5,1.均線糾結、2.極致量縮、3.帶量突破、6.KD黃金交叉、7.站上20周線
2026-09-22,2449,京元電子        ,301.5,5,1.均線糾結、4.外資連買3天、5.法人今日同買、7.站上20周線、8.跳空缺口
2026-09-22,3037,欣興            ,1020.0,5,1.均線糾結、2.極致量縮、4.外資連買3天、7.站上20周線、8.跳空缺口
2026-09-22,2436,偉詮電          ,70.0,5,1.均線糾結、2.極致量縮、3.帶量突破、6.KD黃金交叉、7.站上20周線
2026-09-22,0052,富邦科技        ,63.8,5,1.均線糾結、2.極致量縮、4.外資連買3天、6.KD黃金交叉、7.站上20周線
2026-09-22,6239,力成            ,292.5,5,1.均線糾結、3.帶量突破、4.外資連買3天、7.站上20周線、8.跳空缺口
2026-09-22,2441,超豐            ,127.5,4,1.均線糾結、4.外資連買3天、7.站上20周線、8.跳空缺口
2026-09-22,1102,亞泥            ,35.25,4,1.均線糾結、2.極致量縮、5.法人今日同買、7.站上20周線
2026-09-22,6213,聯茂            ,542.0,4,4.外資連買3天、5.法人今日同買、6.KD黃金交叉、7.站上20周線
2026-09-22,4906,正文            ,38.5,4,1.均線糾結、2.極致量縮、3.帶量突破、4.外資連買3天
2026-09-22,2610,華航            ,20.25,4,1.均線糾結、2.極致量縮、5.法人今日同買、7.站上20周線
2026-09-22,3189,景碩            ,827.0,4,1.均線糾結、2.極致量縮、5.法人今日同買、7.站上20周線
2026-09-22,8150,南茂            ,103.0,4,1.均線糾結、3.帶量突破、4.外資連買3天、7.站上20周線
2026-09-22,2409,友達            ,33.35,4,3.帶量突破、6.KD黃金交叉、7.站上20周線、8.跳空缺口
2026-09-22,3044,健鼎            ,524.0,4,4.外資連買3天、5.法人今日同買、6.KD黃金交叉、7.站上20周線
2026-09-22,3576,聯合再生        ,17.7,4,1.均線糾結、4.外資連買3天、7.站上20周線、8.跳空缺口
2026-09-22,3702,大聯大          ,114.0,4,1.均線糾結、2.極致量縮、5.法人今日同買、7.站上20周線
2026-09-22,3014,聯陽            ,139.5,4,1.均線糾結、4.外資連買3天、5.法人今日同買、7.站上20周線
2026-09-22,2412,中華電          ,144.5,4,1.均線糾結、4.外資連買3天、5.法人今日同買、7.站上20周線
2026-09-22,3034,聯詠            ,548.0,4,1.均線糾結、2.極致量縮、4.外資連買3天、7.站上20周線
2026-09-22,8110,華東            ,52.1,4,1.均線糾結、3.帶量突破、7.站上20周線、8.跳空缺口
2026-09-22,3022,威強電          ,92.8,4,1.均線糾結、2.極致量縮、4.外資連買3天、7.站上20周線
2026-09-22,6805,富世達          ,2415.0,4,2.極致量縮、3.帶量突破、7.站上20周線、8.跳空缺口
2026-09-22,9910,豐泰            ,68.4,4,1.均線糾結、2.極致量縮、5.法人今日同買、6.KD黃金交叉
2026-09-22,2903,遠百            ,22.4,4,1.均線糾結、2.極致量縮、7.站上20周線、8.跳空缺口
2026-09-22,4526,東台            ,32.6,4,1.均線糾結、2.極致量縮、3.帶量突破、4.外資連買3天
2026-09-22,2377,微星            ,153.0,4,1.均線糾結、2.極致量縮、4.外資連買3天、7.站上20周線
2026-09-22,2376,技嘉            ,368.0,4,1.均線糾結、3.帶量突破、4.外資連買3天、7.站上20周線
2026-09-22,2208,台船            ,19.2,4,1.均線糾結、2.極致量縮、4.外資連買3天、7.站上20周線
2026-09-22,2892,第一金          ,39.75,4,2.極致量縮、4.外資連買3天、5.法人今日同買、7.站上20周線
2026-09-22,2347,聯強            ,89.8,4,1.均線糾結、2.極致量縮、5.法人今日同買、7.站上20周線
2026-09-22,2360,致茂            ,2375.0,4,2.極致量縮、6.KD黃金交叉、7.站上20周線、8.跳空缺口
2026-09-22,3380,明泰            ,33.15,4,1.均線糾結、3.帶量突破、6.KD黃金交叉、7.站上20周線
2026-09-22,2884,玉山金          ,46.2,3,2.極致量縮、5.法人今日同買、7.站上20周線
2026-09-22,2323,中環            ,10.8,3,1.均線糾結、2.極致量縮、7.站上20周線
2026-09-22,5876,上海商銀        ,49.25,3,2.極致量縮、5.法人今日同買、7.站上20周線
2026-09-22,4958,臻鼎-KY         ,470.0,3,1.均線糾結、2.極致量縮、5.法人今日同買
2026-09-22,2618,長榮航          ,41.95,3,1.均線糾結、5.法人今日同買、7.站上20周線
